ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
15,HAWAII,HI,15001,Hawaii,15001020100,"Census Tract 201, Hawaii County, Hawaii",97.064288352512,4162,371,2174,83,1632,125,903,281,51,19,28978,5262,296,91,1102,171,766,194,704,137,125,53,3163,411,139,81,13,13,24,22,70,52,91,39,23,18,21.7,5.9,2.8,1.0,28978.0,5262.0,9.2,2.8,26.5,3.8,18.4,4.4,16.9,3.1,7.7,3.2,76.0,7.2,3.5,2.0,0.6,0.6,1.1,1.0,4.3,3.2,5.6,2.2,0.6,0.4,0.9228,0.3045,0.6709,0.6943,2.5925,0.7355,0.8822,0.379,0.9228,0.6943,2.8783,0.9453,0.3854,0.5732,0.9586,0.4777,0.2197,0.9453,0.2962,0.5595,0.5191,2.5398,0.6495,8.9692,0.7903,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3,198,109,4.8,2.4,2124
15,HAWAII,HI,15001,Hawaii,15001020202,"Census Tract 202.02, Hawaii County, Hawaii",244.926538846568,2565,315,743,48,649,53,320,155,54,33,20929,4255,314,112,416,69,275,57,263,91,49,26,2069,347,48,52,0,15,3,5,22,21,29,27,766,230,17.6,8.1,6.9,4.0,20929.0,4255.0,15.0,4.8,16.2,2.9,10.7,1.8,14.4,4.3,7.6,4.0,80.7,9.2,1.9,2.1,0.0,2.1,0.4,0.7,3.4,3.2,4.5,4.1,29.9,8.2,0.8553,0.8269,0.9233,0.8917,3.4972,0.9581,0.3599,0.0764,0.7846,0.6815,1.9024,0.4277,0.4809,0.3535,0.8344,0.3949,0.0,0.8071,0.2452,0.4695,0.9586,2.4804,0.6206,8.7144,0.7645,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,49,57,2.7,3.1,1194
15,HAWAII,HI,15001,Hawaii,15001020300,"Census Tract 203, Hawaii County, Hawaii",1.270969791396,4270,552,1929,117,1667,160,1471,405,161,90,23285,3684,355,201,865,148,744,294,456,142,189,104,3162,603,155,112,850,210,0,11,127,97,326,125,328,108,35.7,7.9,8.5,4.5,23285.0,3684.0,11.6,5.9,20.3,3.9,17.4,6.5,11.0,3.1,11.3,6.2,74.1,10.4,3.8,2.7,44.1,10.6,0.0,1.4,7.6,5.8,19.6,6.9,7.7,2.3,0.9839,0.9006,0.8562,0.8025,3.5432,0.9677,0.6146,0.3185,0.4566,0.8726,2.2623,0.6913,0.3535,0.6051,0.9586,0.4777,0.7866,0.0,0.551,0.8714,0.9045,3.1135,0.8521,9.8776,0.8774,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,249,116,6.0,2.8,8276
15,HAWAII,HI,15001,Hawaii,15001020400,"Census Tract 204, Hawaii County, Hawaii",1.043258414856,3522,384,1584,82,1303,115,1121,379,165,100,23562,4877,113,57,674,156,615,269,635,173,176,115,2760,457,150,145,320,106,0,11,96,71,96,46,51,37,31.9,10.2,9.4,5.8,23562.0,4877.0,4.4,2.3,19.1,5.2,17.5,7.4,18.0,4.6,13.5,8.8,78.4,9.8,4.5,4.3,20.2,6.7,0.0,1.7,7.4,5.5,7.4,3.6,1.4,1.0,0.9743,0.9263,0.8435,0.3217,3.0658,0.8677,0.5318,0.328,0.955,0.9299,2.7447,0.9132,0.4395,0.6624,1.1019,0.5573,0.6783,0.0,0.5382,0.6624,0.6847,2.5636,0.6592,9.476,0.8323,1,1,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,4,63,74,1.8,2.0,8821
15,HAWAII,HI,15001,Hawaii,15001020500,"Census Tract 205, Hawaii County, Hawaii",2.352502497512,6842,767,2519,140,2260,182,2709,590,207,100,16903,2403,548,231,949,197,1711,398,1047,324,333,153,6035,804,225,185,535,175,0,15,182,110,318,153,727,148,44.7,7.6,7.8,3.5,16903.0,2403.0,15.7,6.6,13.9,3.0,25.0,5.1,15.5,4.8,14.7,6.7,88.2,6.4,3.6,3.0,21.2,6.9,0.0,1.1,8.1,4.8,14.1,6.6,10.6,1.8,0.9968,0.8686,0.9744,0.9108,3.7506,0.9871,0.2643,0.7834,0.8714,0.9522,2.8713,0.9421,0.6975,0.5828,1.2803,0.6783,0.6879,0.0,0.5764,0.8006,0.9236,2.9885,0.8296,10.8907,0.9645,1,0,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,5,566,311,8.4,4.4,14525
15,HAWAII,HI,15001,Hawaii,15001020600,"Census Tract 206, Hawaii County, Hawaii",18.72125972172,5792,346,2197,67,1856,93,827,160,147,50,23465,1777,288,56,1016,98,1417,167,976,119,134,38,5184,370,8,58,365,89,24,18,175,38,84,33,22,10,14.4,2.6,5.8,1.9,23465.0,1777.0,7.4,1.5,17.5,1.6,24.5,2.5,16.9,1.9,7.2,2.1,89.5,3.5,0.1,1.1,16.6,4.0,1.1,0.8,9.4,2.0,4.5,1.8,0.4,0.2,0.7974,0.7468,0.8466,0.6083,2.9991,0.8516,0.4331,0.7643,0.9228,0.6369,2.7571,0.9196,0.758,0.0223,0.7803,0.3662,0.6306,0.9453,0.6274,0.4695,0.4522,3.125,0.8553,9.6615,0.8452,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,181,58,3.1,1.0,9780
15,HAWAII,HI,15001,Hawaii,15001020701,"Census Tract 207.01, Hawaii County, Hawaii",1.823765538366,4461,457,2072,65,1856,121,715,251,142,103,31813,7119,206,75,1275,150,637,234,841,221,94,53,3906,481,113,76,101,48,0,11,34,42,130,93,9,12,16.0,5.1,6.8,4.9,31813.0,7119.0,6.2,2.2,28.6,3.9,14.3,5.0,18.9,5.0,5.1,2.9,87.6,6.0,2.7,1.8,4.9,2.3,0.0,1.3,1.8,2.3,7.0,4.9,0.2,0.3,0.8296,0.8205,0.5623,0.5,2.7124,0.7774,0.9268,0.1783,0.9807,0.4204,2.5062,0.8457,0.6752,0.4777,1.1529,0.6146,0.4586,0.0,0.1274,0.6399,0.3726,1.5985,0.2894,7.97,0.6581,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,225,137,5.1,2.9,3638
15,HAWAII,HI,15001,Hawaii,15001020702,"Census Tract 207.02, Hawaii County, Hawaii",1.189426979506,4864,413,1945,69,1712,113,235,125,100,62,30834,2605,174,69,1008,143,927,192,636,136,108,56,4339,445,115,91,6,14,5,10,71,57,30,23,42,37,4.9,2.5,3.9,2.3,30834.0,2605.0,4.8,1.9,20.7,2.9,19.1,3.6,13.1,2.7,6.3,3.2,89.2,5.2,2.5,2.0,0.3,0.7,0.3,0.5,4.1,3.3,1.8,1.3,0.9,0.8,0.2894,0.5192,0.6038,0.3726,1.785,0.4161,0.6465,0.4459,0.717,0.5669,2.3763,0.7846,0.7516,0.4618,1.2134,0.6433,0.172,0.7781,0.2771,0.1833,0.5987,2.0092,0.4437,7.3839,0.5742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,46,1.4,0.9,1788
15,HAWAII,HI,15001,Hawaii,15001020801,"Census Tract 208.01, Hawaii County, Hawaii",11.680367742652,5182,486,1645,50,1576,82,467,210,74,66,34060,3562,95,49,1075,175,1070,272,517,137,129,75,4567,522,27,64,0,21,0,15,28,25,51,45,96,43,9.1,4.0,3.0,2.7,34060.0,3562.0,2.7,1.3,20.7,3.7,20.6,4.9,10.1,2.8,8.2,4.7,88.1,5.8,0.5,1.3,0.0,1.3,0.0,1.7,1.8,1.6,3.2,2.8,1.9,0.8,0.5691,0.3301,0.4888,0.1656,1.5536,0.3226,0.6465,0.551,0.3698,0.7261,2.2934,0.717,0.6911,0.0955,0.7866,0.3726,0.0,0.0,0.1274,0.3344,0.742,1.2038,0.164,5.8374,0.2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,97,2.4,1.9,2503
15,HAWAII,HI,15001,Hawaii,15001020802,"Census Tract 208.02, Hawaii County, Hawaii",4.12538210889,6507,625,2643,123,2331,174,249,199,186,130,35052,4252,219,134,1196,195,1439,324,783,201,160,76,4904,701,0,60,16,28,0,15,37,40,17,26,61,108,3.9,3.0,5.5,3.8,35052.0,4252.0,4.8,2.9,18.4,3.2,22.1,4.5,12.2,3.0,6.9,3.3,75.4,8.0,0.0,1.0,0.6,1.1,0.0,1.0,1.6,1.7,0.7,1.1,0.9,1.7,0.2058,0.7244,0.4473,0.3726,1.7501,0.3903,0.4904,0.6688,0.6238,0.6178,2.4008,0.8006,0.3758,0.0,0.3758,0.1242,0.2197,0.0,0.1115,0.074,0.5987,1.0039,0.1318,5.5306,0.2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,76,1.1,1.2,3183
