Variable or Abbreviation,Description,Measure,Notes,Theme,Source,Date,US Census Bureau American Community Survey Reference
GRASP_ID,Unique ID for database administration,Unique ID,,Not used in index,,,
ST,State FIPS code,Geography,Must be converted to text field of length 2 with leading zeros,Not used in index,US Census Bureau Cartographic Boundary Files,,
STATE,State name,Geography,,Not used in index,US Census Bureau Cartographic Boundary Files,,
ST_ABBR,State abbreviation,Geography,,Not used in index,US Census Bureau Cartographic Boundary Files,,
COUNTY,County name,Geography,,Not used in index,US Census Bureau Cartographic Boundary Files,,
FIPS,County FIPS code,Geography,Must be converted to text field of length 5 with leading zeros,Not used in index,US Census Bureau Cartographic Boundary Files,,
E_TOTPOP,Total Population,Estimate,,Not used in index,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,S0601_C01_001
E_HU,Housing units,Estimate,,Not used in index,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP04_0001
E_HH,Households,Estimate,,Not used in index,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP02_0001
E_POV,Persons below poverty,Estimate,,Theme 1,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,B17001_002
E_UNEMP,Civilian age 16+ unemployed,Estimate,,Theme 1,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP03_0005
E_PCI,Per capita income,Estimate,,Theme 1,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,B19301_001
E_NOHSDP,Persons age 25+ with no high school diploma,Estimate,,Theme 1,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,B06009_002
E_AGE65,Persons age 65 and older,Estimate,,Theme 2,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,S0101_C01_030
E_AGE17,Persons age 17 and younger,Estimate,,Theme 2,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,B09001_001
E_DISABL,Civilian noninstitutionalized population with a disability,Estimate,,Theme 2,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP02_0071
E_SNGPNT,Single parent household with children under 18,Estimate,,Theme 2,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,"DP02_0007, DP02_0009"
E_AIAN,American Indian and Alaska Native,Estimate,,Theme 3,US Census Bureau US Census Bureau American Community Survey,2014-2018,DP05_0039
E_ASIAN,Asian,Estimate,,Theme 3,US Census Bureau American Community Survey,2014-2018,DP05_0044
E_AFAM,African American or Black,Estimate,,Theme 3,US Census Bureau American Community Survey,2014-2018,DP05_0038
E_NHPI,Native Hawaiian/Pacific Islander,Estimate,,Theme 3,US Census Bureau American Community Survey,2014-2018,DP05_0052
E_HISP,Hispanic or Latino/a,Estimate,,Theme 3,US Census Bureau American Community Survey,2014-2018,DP05_0071
E_OTHER,Some Other Race Alone,Estimate,,Theme 3,US Census Bureau American Community Survey,2014-2018,B02001_007
E_SPAN,"Spanish speakers who speak English less than ""very well""",Estimate,,Theme 3,US Census Bureau American Community Survey,2011-2015,B16001_005
E_CHIN,"Chinese speakers who speak English less than ""very well""",Estimate,,Theme 3,US Census Bureau American Community Survey,2011-2015,B16001_068
E_VIET,"Vietnamese speakers who speak English less than ""very well"" ",Estimate,,Theme 3,US Census Bureau American Community Survey,2011-2015,B16001_089
E_KOR,"Korean speakers who speak English less than ""very well""",Estimate,,Theme 3,US Census Bureau American Community Survey,2011-2015,B16001_074
E_RUS,"Russian speakers who speak English less than ""very well""",Estimate,,Theme 3,US Census Bureau American Community Survey,2011-2015,B16001_035
E_MUNIT,Housing in structures with 10 or more units,Estimate,,Theme 4,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,"DP04_0012, DP04_0013"
E_MOBILE,Mobile homes,Estimate,,Theme 4,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP04_0014
E_CROWD,"At household level (occupied housing units), more people than rooms",Estimate,,Theme 4,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,"DP04_0078, DP04_0079"
E_NOVEH,Households with no vehicle available,Estimate,,Theme 4,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP04_0058
E_GROUPQ,Persons in group quarters,Estimate,,Theme 4,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,B26001_001
HOSP,Hospitals ,Count,,Theme 5,Homeland Infrastructure Foundation Level Data Open,2017,
URG,Urgent care clinics  ,Count,,Theme 5,Homeland Infrastructure Foundation Level Data Open,2017,
PHARM,Pharmacies ,Count,,Theme 5,Homeland Infrastructure Foundation Level Data Open,2017,
PCP,Primary care physicians,,"Primary Care Physicians working in Patient Care, Non-Federal",Theme 5,Health Resources and Services Administration Area Health Resource Files,2018,
E_UNINSUR,Persons without health insurance,Estimate,,Theme 5,US Census Bureau American Community Survey,2014-2018,S2701_C05_001
E_NOINT,No Internet access,Estimate,,Theme 6,US Census Bureau American Community Survey,2014-2018,B28002_013
E_TOTPOP,Total Population,Margin of Error,,Not used in index,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,S0601_C01_001
M_HU,Housing units,Margin of Error,,Not used in index,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP04_0001
M_HH,Households,Margin of Error,,Not used in index,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP02_0001
M_POV,Persons below poverty,Margin of Error,,Theme 1,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,B17001_002
M_UNEMP,Civilian age 16+ unemployed,Margin of Error,,Theme 1,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP03_0005
M_PCI,Per capita income,Margin of Error,,Theme 1,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,B19301_001
M_NOHSDP,Persons age 25+ with no high school diploma,Margin of Error,,Theme 1,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,B06009_002
M_AGE65,Persons age 65 and older,Margin of Error,,Theme 2,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,S0101_C01_030
M_AGE17,Persons age 17 and younger,Margin of Error,,Theme 2,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,B09001_001
M_DISABL,Civilian noninstitutionalized population with a disability,Margin of Error,,Theme 2,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,DP02_0071
M_SNGPNT,Single parent household with children under 18,Margin of Error,,Theme 2,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry Social Vulnerability Index,2014-2018,"DP02_0007, DP02_0009"
M_AIAN,American Indian and Alaska Native,Margin of Error,,Theme 3,US Census Bureau American Community Survey,2014-2018,DP05_0039
M_ASIAN,Asian,Margin of Error,,Theme 3,US Census Bureau American Community Survey,2014-2018,DP05_0044
M_AFAM,African American or Black,Margin of Error,,Theme 3,US Census Bureau American Community Survey,2014-2018,DP05_0038
M_NHPI,Native Hawaiian/Pacific Islander,Margin of Error,,Theme 3,US Census Bureau American Community Survey,2014-2018,DP05_0052
M_HISP,Hispanic or Latino/a,Margin of Error,,Theme 3,US Census Bureau American Community Survey,2014-2018,DP05_0071
M_OTHER,Some Other Race Alone,Margin of Error,,Theme 3,US Census Bureau American Community Survey,2014-2018,B02001_007
M_SPAN,"Spanish speakers who speak English less than ""very well""",Margin of Error,,Theme 3,US Census Bureau American Community Survey,2011-2015,B16001_005
M_CHIN,"Chinese speakers who speak English less than ""very well""",Margin of Error,,Theme 3,US Census Bureau American Community Survey,2011-2015,B16001_068
